Code,NewCode,AreaName,London,GLAPopEst_2016,GLAHHEstimate_2016,InlandAreaHectares,DensityperHectar_2016,AverageAge_2016,ProportionAge0-15_2016,ProportionWorkingAge_2016,ProportionOver65_2016,InternalMigration_2014,InternationalMigration_2014,NaturalChange_2014,PercBornAbroad_2014,LargestMigrantPopulationbyBirth_2011,PercLargestPopulation_2011,SecondLargestMigrantPopulationbyBirth_2011,PercSecondLargestPopulation_2011,ThirdLargestMigrantPopulationbyBirth_2011,PercThirdLargestPopulation_2011,PercBAMEGroups_2011,PercMainLangNotEnglish_2011,OverseasNationalEnteringUK_2014-15,NewMigrant_2014-15,LargestMigrantPop_2014-15,SecondLargestMigrantPop_2014-15,ThirdLargestMigrantPop_2014-15,EmploymentRatePerc_2015,MaleEmploymentRate_2015,FemaleEmploymentRate_2015,UnemploymentRate_2015,YouthUnemploymentRate_2015,Perc16-18NEET_2014,PercClaimOutofWorkBenefits_201508,PercDisability_2015,PercWorkingAgeNoQualifications_2015,PercWorkingAgeDegree_2015,GrossAnnualPay_2015,GrossAnnualPayMale_2015,GrossAnnualPayFemale_2015,ModelledHouseholdMedianIncome_2012-13,PercAdultsVolunteered,NumberofJobsbyWorkplace_2014,PercPublicSectorEmployment_2014,JobsDensity_2014,NumberActiveBusinesses_2014,BusinessTwoYearSurvivalRate,CrimeRateperThousand_2014-15,FiresperThousand_2014,AmbulanceperThousandPop_2014,MedianHousePrice_2014,AvgBandDTax_2014,NewHomes_2014,PercHomesOwnedOutright_2014,PercHomesBoughtwMortgage_2014,PercHomesPublicRented_2014,PercHomesPrivateRented_2014,PercGreenspace_2005,TotalCarbon_2013,RecyclingRate_2014,NumberCars_2011,NumberCarsperHousehold_2011,PercAdultsCycleOnceperWeek_2014,PublicTransportAccessibilityScore_2014,RatesofChildrenLookedAfter_2015,PercPupilsEnglishSecondLanguage_2015,PercChildrenOutofWorkHousehold_2014,MaleLifeExpectancy_2014,FemalealeLifeExpectancy_2014,TeenageConceptionRate_2014,LifeSatisfactionScore_2014,WorthwhilenessScore_2014,HappinessScore_2014,AnxietyScore_2014,PercChildhoodObesityPrevalance_2015,PercDiabetes_2014,PreventableMortalityRate_2014,PoliticalControlCouncil,PercConservative_2014,PercLabour_2014,PercLibDem_2014,TurnoutElection_2014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,E09000001,City of London,Inner London,8548,5179,290.4,28.9,42.9,27.2,90.6,9.4,138,252,35,,United States,2.8,France,2,Australia,1.9,27.5,17.1,892,151,France,United States,India,64.6,,,,1.2,,3.8,,,,,,,99390,,500400,3.4,84.6,19250,63,,12.3,,765000,943,230,,,,,4.8,1417.5,34.4,1692,0.4,,7.9,84,,9.1,,,,6.59,7.08,5.99,5.57,,2.6,128.8,,,,,
E09000002,E09000002,Barking and Dagenham,Outer London,205773,76841,3610.8,57.3,32.9,21,86.1,13.9,-1118,2543,2509,37.4,Nigeria,4.7,India,2.3,Pakistan,2.3,49.5,18.7,7727,62,Romania,Bulgaria,Lithuania,65.8,75.6,56.5,11,7.3,5.7,11.7,17.2,11.3,32.2,28428,29792,25251,34080,21,58900,21.1,0.47,5690,73,83.4,3,13.7,215000,1332,510,16.4,27.4,35.9,20.3,33.6,783.2,23.4,56966,0.8,6.5,3,77,47.2,22.5,77.6,82.1,32.4,7.14,7.6,7.05,3.05,25.3,7.3,227.6,Lab,0,100,0,36.5
E09000003,E09000003,Barnet,Outer London,385108,149147,8674.8,44.5,37.2,21,83.3,16.7,-1884,4770,2938,35.9,India,3.1,Poland,2.4,Iran,2,38.7,23.4,14412,59,Romania,Poland,Italy,68.5,74.5,62.9,8.5,3.5,2.5,6.7,14.9,5.2,49,33084,37058,30449,54530,33,167300,18.7,0.69,24555,70,62.7,1.6,11.1,400000,1397,1320,32.4,25.2,11.1,31.1,41.3,1552.7,38,144717,1.1,12.1,3,34,43.4,10.8,82.1,85.1,12.8,7.48,7.76,7.37,2.75,18.4,6,133.8,Cons,50.8,47.6,1.6,40.5
E09000004,E09000004,Bexley,Outer London,243303,97233,6058.1,39.9,38.9,20.8,89,11,1273,699,1195,16.1,Nigeria,2.6,India,1.5,Ireland,0.9,21.4,6,2108,14,Romania,Nigeria,Poland,75.1,82.1,68.5,7.6,3.8,3.4,7.3,15.9,10.8,33.5,32040,36020,25776,44430,22,80700,15.9,0.54,8430,75,51.8,2.3,11.8,250000,1446,810,38.1,35.3,15.2,11.4,31.7,1060.9,54,108507,1.2,9.2,2.6,50,15,15.4,80.4,84.4,19.5,7.38,7.7,7.21,3.29,21.4,6.9,164.3,Cons,71.4,23.8,0,39.6
E09000005,E09000005,Brent,Outer London,328568,119166,4323.3,76.1,35.5,20.1,82.5,17.5,-6932,6717,3694,56.2,India,9.2,Poland,3.4,Ireland,2.9,64.9,37.2,25130,115,Romania,Italy,Portugal,69.5,76,62.6,7.5,6.1,2.6,9,17.7,6.2,45.1,29777,31149,27653,39630,17,133600,17.6,0.61,14680,70,78.8,1.8,12.1,385000,1354,1560,22.2,22.6,20.4,34.8,21.9,1292.6,35.2,87802,0.8,11.7,3.7,44,62.7,16,80.1,85.1,18.5,7.25,7.35,7.22,2.92,23.9,7.9,169.4,Lab,9.5,88.9,1.6,36.3
E09000006,E09000006,Bromley,Outer London,326560,139654,15013.5,21.7,40.1,15.8,88.4,11.6,1169,728,1486,17.2,India,1.1,Ireland,1.1,Nigeria,0.7,18.9,5.8,2778,14,Romania,Italy,Poland,75.3,80.4,70.4,5.3,3.5,4.3,6.4,15.9,4.3,46.7,36498,42464,32600,55140,29,127800,13.9,0.64,14825,77,64.1,2.3,11.2,335000,1325,410,37.8,34.9,13.2,14.1,57.8,1334.7,48,153908,1.2,12.2,2.8,37,10.8,12.1,81.4,84.9,16.7,7.54,7.86,7.44,3.26,16.5,5.2,148.5,Cons,85,11.7,0,40.8
E09000007,E09000007,Camden,Inner London,240595,106518,2178.9,109.8,36.2,8.8,82.8,17.2,-2790,6288,1642,42.4,United States,2.8,Bangladesh,2.7,Ireland,2.4,34.6,23.5,10703,64,Italy,France,Spain,69.2,72.2,66.1,4,5,4.4,9.2,21.3,6.1,61.1,39610,42905,35936,67990,22,377400,12.4,2.25,29020,69,123.5,2.7,14.8,675000,1337,440,18.5,15.1,34.4,32,24.8,1540.5,26.3,46601,0.5,15.1,5.7,43,55.4,19.1,81.8,86.7,16.8,7.14,7.38,7.11,3.61,20.8,3.9,163.8,Lab,22.2,74.1,1.9,38.7
E09000008,E09000008,Croydon,Outer London,383408,156979,8650.4,44.4,36.9,22.3,87,13,-2362,2189,3443,29.7,India,3.6,Jamaica,2.5,Ghana,1.5,49.9,14.5,7902,32,Romania,Poland,Bulgaria,75.4,81.8,69.5,4.1,5.3,3.3,9.1,17.5,7,40.6,32887,34300,30509,45120,27,141600,20.1,0.58,14400,74,77,2.2,12.8,265000,1466,1520,30.8,33.6,16.7,18.6,37.1,1452.2,39.9,140049,1,6.8,3.2,87,30.2,16.5,80.3,83.6,28.4,7.1,7.57,7.18,3.3,23.8,6.5,178.2,Lab,42.9,57.1,0,38.6
E09000009,E09000009,Ealing,Outer London,348533,130934,5554.4,63.5,36.1,21.2,88.3,11.7,-6391,2291,3708,45.5,India,7.6,Poland,6.4,Ireland,2.3,53.5,33.9,15143,66,Poland,Romania,Italy,72.7,81.2,63.8,5.8,5.2,3,8.6,15.2,9.1,49.7,28978,30800,27807,45690,32,160500,13.6,0.7,17475,74,75.5,1.9,11.3,388000,1355,900,20.1,30.2,14.3,35,30.9,1567.3,40.1,112845,0.9,13.4,3.3,44,59.8,15,80.6,84.2,17.8,7.29,7.57,7.26,3.57,23.3,6.9,163.5,Lab,17.4,76.8,5.8,41.2
